filename,true_label,predicted_class,probability,risk_level,suspicious_features,correct
6_new_connections.eml,0,0,0.1,MINIMAL,,True
phishing_lottery_scam.eml,1,1,0.7,MEDIUM,"Contains 1 urgency indicators, Contains 4 money-related terms",True
